"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","AB","A","Incorrect","0.0","0.0"
"q2","ABCD","A","Incorrect","0.0","0.0"
"q3","ABCD","A","Incorrect","0.0","0.0"
"q4","ABCD","A","Incorrect","0.0","0.0"
"q5","ABCD","A","Incorrect","0.0","0.0"
"q6","ABCD","A","Incorrect","0.0","0.0"
"q7","ABC","A","Incorrect","0.0","0.0"
"q8","ABC","A","Incorrect","0.0","0.0"
"q9","ABC","A","Incorrect","0.0","0.0"
"q10","AB","A","Incorrect","0.0","0.0"
"q11","AB","A","Incorrect","0.0","0.0"
"q12","A","A","Correct","1.0","1.0"
"q13","","A","Unmarked","0.0","1.0"
"q14","AB","A","Incorrect","0.0","1.0"
"q15","","A","Unmarked","0.0","1.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","A","Correct","1.0","2.0"
"q7","A","A","Correct","1.0","3.0"
"q8","B","A","Incorrect","0.0","3.0"
"q9","B","A","Incorrect","0.0","3.0"
"q10","D","A","Incorrect","0.0","3.0"
"q11","C","A","Incorrect","0.0","3.0"
"q12","D","A","Incorrect","0.0","3.0"
"q13","A","A","Correct","1.0","4.0"
"q14","B","A","Incorrect","0.0","4.0"
"q15","C","A","Incorrect","0.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","A","Correct","1.0","2.0"
"q7","A","A","Correct","1.0","3.0"
"q8","B","A","Incorrect","0.0","3.0"
"q9","B","A","Incorrect","0.0","3.0"
"q10","D","A","Incorrect","0.0","3.0"
"q11","C","A","Incorrect","0.0","3.0"
"q12","D","A","Incorrect","0.0","3.0"
"q13","A","A","Correct","1.0","4.0"
"q14","B","A","Incorrect","0.0","4.0"
"q15","C","A","Incorrect","0.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","B","A","Incorrect","0.0","0.0"
"q2","B","A","Incorrect","0.0","0.0"
"q3","D","A","Incorrect","0.0","0.0"
"q4","C","A","Incorrect","0.0","0.0"
"q5","A","A","Correct","1.0","1.0"
"q6","A","A","Correct","1.0","2.0"
"q7","A","A","Correct","1.0","3.0"
"q8","B","A","Incorrect","0.0","3.0"
"q9","B","A","Incorrect","0.0","3.0"
"q10","D","A","Incorrect","0.0","3.0"
"q11","C","A","Incorrect","0.0","3.0"
"q12","D","A","Incorrect","0.0","3.0"
"q13","A","A","Correct","1.0","4.0"
"q14","B","A","Incorrect","0.0","4.0"
"q15","C","A","Incorrect","0.0","4.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","D","A","Incorrect","0.0","0.0"
"q2","","A","Unmarked","0.0","0.0"
"q3","","A","Unmarked","0.0","0.0"
"q4","","A","Unmarked","0.0","0.0"
"q5","","A","Unmarked","0.0","0.0"
"q6","","A","Unmarked","0.0","0.0"
"q7","","A","Unmarked","0.0","0.0"
"q8","","A","Unmarked","0.0","0.0"
"q9","","A","Unmarked","0.0","0.0"
"q10","","A","Unmarked","0.0","0.0"
"q11","","A","Unmarked","0.0","0.0"
"q12","","A","Unmarked","0.0","0.0"
"q13","","A","Unmarked","0.0","0.0"
"q14","","A","Unmarked","0.0","0.0"
"q15","","A","Unmarked","0.0","0.0"
"Question","Marked","Answer(s)","Verdict","Delta","Score"
"q1","A","A","Correct","1.0","1.0"
"q2","A","A","Correct","1.0","2.0"
"q3","A","A","Correct","1.0","3.0"
"q4","B","A","Incorrect","0.0","3.0"
"q5","D","A","Incorrect","0.0","3.0"
"q6","A","A","Correct","1.0","4.0"
"q7","C","A","Incorrect","0.0","4.0"
"q8","C","A","Incorrect","0.0","4.0"
"q9","B","A","Incorrect","0.0","4.0"
"q10","A","A","Correct","1.0","5.0"
"q11","D","A","Incorrect","0.0","5.0"
"q12","C","A","Incorrect","0.0","5.0"
"q13","C","A","Incorrect","0.0","5.0"
"q14","C","A","Incorrect","0.0","5.0"
"q15","B","A","Incorrect","0.0","5.0"
